post_id,title,category,score,num_comments,author,collected_at
47937033,New mechanical panoramic film camera from Jeff Bridges,entertainment,219,108,armadsen,2026-05-03 12:59:41
47972511,"Show HN: WhatCable, a tiny menu bar app for inspecting USB-C cables",entertainment,535,161,sleepingNomad,2026-05-03 12:59:41
47983485,"Show HN: Stop playing my matchstick puzzles, start building your own in seconds",entertainment,34,28,trangram,2026-05-03 12:59:41
47965060,How Mark Klein told the EFF about Room 641A [book excerpt],entertainment,699,249,the-mitr,2026-05-03 12:59:41
47973559,Show HN: Site Mogging,entertainment,66,74,jilles,2026-05-03 12:59:41
47972888,Show HN: Perfect Bluetooth MIDI for Windows,entertainment,104,34,mayerwin,2026-05-03 12:59:41
47972158,Music with Lyrics Interferes with Cognitive Tasks (2023),entertainment,30,29,XzetaU8,2026-05-03 12:59:41
47977659,Show HN: My Private GitHub on Postgres,entertainment,41,23,calebhwin,2026-05-03 12:59:41
47936312,Show HN: Drive any macOS app in the background without stealing the cursor,entertainment,189,41,frabonacci,2026-05-03 12:59:41
47968112,Show HN: Pu.sh – a full coding-agent harness in 400 lines of shell,entertainment,89,27,nahimn,2026-05-03 12:59:41
47935246,"Show HN: Rocky – Rust SQL engine with branches, replay, column lineage",entertainment,120,48,hugocorreia90,2026-05-03 12:59:41
47970690,Show HN: Winpodx – run Windows apps on Linux as native windows,entertainment,96,47,kernalix7,2026-05-03 12:59:41
47945955,Show HN: Rip.so – a graveyard for dead internet things,entertainment,184,117,bozdemir,2026-05-03 12:59:41
47965161,Show HN: TRiP – a complete transformer engine in C built from scratch just by me,entertainment,38,6,carlovalenti,2026-05-03 12:59:41
47920787,Show HN: OSS Agent I built topped the TerminalBench on Gemini-3-flash-preview,entertainment,392,147,GodelNumbering,2026-05-03 12:59:41
47926128,Show HN: What happens when you load a webpage (Interactive),entertainment,31,8,otterwilde2,2026-05-03 12:59:41
47978340,Show HN: Omar – A TUI for managing 100 coding agents,entertainment,15,2,karim7,2026-05-03 12:59:41
